seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-15398.0,0.5476190476190477,0.0,1.0
2001,-10198.0,0.5158730158730159,0.0,1.0
2002,-1476.0,0.7777777777777778,0.08333333333333333,0.9166666666666666
2003,-176.0,0.7936507936507936,0.08333333333333333,0.9166666666666666
2004,-2756.0,0.8095238095238095,0.08333333333333333,0.9166666666666666
2005,9754.0,0.7619047619047619,0.08333333333333333,0.9166666666666666
2006,1314.0,0.7619047619047619,0.08333333333333333,0.9166666666666666
2007,-16476.0,0.753968253968254,0.08333333333333333,0.9166666666666666
2008,-19158.0,0.5079365079365079,0.0,1.0
2009,5624.0,0.7619047619047619,0.08333333333333333,0.9166666666666666
2010,15894.0,0.7301587301587301,0.08333333333333333,0.9166666666666666
2011,-7096.0,0.7777777777777778,0.08333333333333333,0.9166666666666666
2012,12104.0,0.7301587301587301,0.08333333333333333,0.9166666666666666
2013,18064.0,0.7142857142857143,0.08333333333333333,0.9166666666666666
2014,-17436.0,0.5396825396825397,0.08333333333333333,0.9166666666666666
2015,824.0,0.7619047619047619,0.08333333333333333,0.9166666666666666
2016,-846.0,0.7380952380952381,0.08333333333333333,0.9166666666666666
2017,2184.0,0.7619047619047619,0.08333333333333333,0.9166666666666666
2018,11134.0,0.7301587301587301,0.08333333333333333,0.9166666666666666
2019,-22146.0,0.4603174603174603,0.08333333333333333,0.9166666666666666
2020,-21378.0,0.40476190476190477,0.0,1.0
2021,-29538.0,0.42857142857142855,0.0,1.0
2022,-25238.0,0.4444444444444444,0.0,1.0
2023,12622.0,0.7222222222222222,0.0,1.0
2024,4284.0,0.746031746031746,0.08333333333333333,0.9166666666666666
2025,2044.0,0.7301587301587301,0.08333333333333333,0.9166666666666666
2026,-11696.0,0.7857142857142857,0.08333333333333333,0.9166666666666666
2027,10190.0,0.746031746031746,0.16666666666666666,0.8333333333333334
2028,15874.0,0.753968253968254,0.08333333333333333,0.9166666666666666
2029,4154.0,0.753968253968254,0.08333333333333333,0.9166666666666666
