seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,-32343.0,0.6349206349206349,0.5,0.5
2001,-42743.0,0.6746031746031746,0.25,0.75
2002,-30119.0,0.6190476190476191,0.3333333333333333,0.6666666666666666
2003,-39251.0,0.6349206349206349,0.4166666666666667,0.5833333333333334
2004,-52371.0,0.626984126984127,0.4166666666666667,0.5833333333333334
2005,-32443.0,0.6507936507936508,0.25,0.75
2006,-43891.0,0.6666666666666666,0.4166666666666667,0.5833333333333334
2007,-30271.0,0.6825396825396826,0.25,0.75
2008,-47215.0,0.5634920634920635,0.3333333333333333,0.6666666666666666
2009,-44431.0,0.6428571428571429,0.4166666666666667,0.5833333333333334
2010,-45391.0,0.5714285714285714,0.16666666666666666,0.8333333333333334
2011,-50783.0,0.5317460317460317,0.0,1.0
2012,-40811.0,0.6587301587301587,0.4166666666666667,0.5833333333333334
2013,-53323.0,0.6428571428571429,0.5,0.5
2014,-43531.0,0.6825396825396826,0.4166666666666667,0.5833333333333334
2015,-53695.0,0.6587301587301587,0.3333333333333333,0.6666666666666666
2016,-49231.0,0.5793650793650794,0.08333333333333333,0.9166666666666666
2017,-39695.0,0.6190476190476191,0.3333333333333333,0.6666666666666666
2018,-41631.0,0.6904761904761905,0.25,0.75
2019,-32503.0,0.7142857142857143,0.5,0.5
2020,-28635.0,0.6746031746031746,0.3333333333333333,0.6666666666666666
2021,-38241.0,0.7380952380952381,0.4166666666666667,0.5833333333333334
2022,-37671.0,0.6746031746031746,0.4166666666666667,0.5833333333333334
2023,-41363.0,0.5238095238095238,0.16666666666666666,0.8333333333333334
2024,-36951.0,0.6746031746031746,0.4166666666666667,0.5833333333333334
2025,-36819.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
2026,-44891.0,0.6746031746031746,0.4166666666666667,0.5833333333333334
2027,-57035.0,0.6428571428571429,0.3333333333333333,0.6666666666666666
2028,-45631.0,0.6428571428571429,0.4166666666666667,0.5833333333333334
2029,-41831.0,0.6190476190476191,0.4166666666666667,0.5833333333333334
2000,-28671.0,0.6349206349206349,0.4166666666666667,0.5833333333333334
2001,-37963.0,0.6825396825396826,0.25,0.75
2002,-31291.0,0.7063492063492064,0.4166666666666667,0.5833333333333334
2003,-51903.0,0.6349206349206349,0.25,0.75
2004,-49311.0,0.6031746031746031,0.16666666666666666,0.8333333333333334
2005,-39523.0,0.6031746031746031,0.16666666666666666,0.8333333333333334
2006,-40643.0,0.6111111111111112,0.25,0.75
2007,-34643.0,0.6825396825396826,0.25,0.75
2008,-41159.0,0.6031746031746031,0.3333333333333333,0.6666666666666666
2009,-40259.0,0.626984126984127,0.3333333333333333,0.6666666666666666
2010,-42811.0,0.7222222222222222,0.4166666666666667,0.5833333333333334
2011,-39631.0,0.6984126984126984,0.4166666666666667,0.5833333333333334
2012,-42311.0,0.6111111111111112,0.4166666666666667,0.5833333333333334
2013,-49303.0,0.6111111111111112,0.08333333333333333,0.9166666666666666
2014,-28447.0,0.6031746031746031,0.16666666666666666,0.8333333333333334
2015,-46859.0,0.6666666666666666,0.3333333333333333,0.6666666666666666
2016,-43251.0,0.6904761904761905,0.4166666666666667,0.5833333333333334
2017,-39491.0,0.5952380952380952,0.4166666666666667,0.5833333333333334
2018,-40011.0,0.5952380952380952,0.4166666666666667,0.5833333333333334
2019,-32503.0,0.7142857142857143,0.5,0.5
