seed,profit,utilization_rate,on_time_rate,penalty_rate
2000,20577.0,0.7936507936507936,0.16666666666666666,0.8333333333333334
2001,2687.0,0.7936507936507936,0.16666666666666666,0.8333333333333334
2002,7751.0,0.7698412698412699,0.08333333333333333,0.9166666666666666
2003,-22629.0,0.5079365079365079,0.08333333333333333,0.9166666666666666
2004,22779.0,0.8253968253968254,0.0,1.0
2005,25891.0,0.8095238095238095,0.08333333333333333,0.9166666666666666
2006,8331.0,0.7777777777777778,0.08333333333333333,0.9166666666666666
2007,4511.0,0.8412698412698413,0.08333333333333333,0.9166666666666666
2008,-2501.0,0.8174603174603174,0.0,1.0
2009,22651.0,0.7936507936507936,0.08333333333333333,0.9166666666666666
2010,19471.0,0.8015873015873016,0.08333333333333333,0.9166666666666666
2011,19199.0,0.8095238095238095,0.0,1.0
2012,-4103.0,0.8174603174603174,0.16666666666666666,0.8333333333333334
2013,-9661.0,0.5793650793650794,0.0,1.0
2014,-5323.0,0.7698412698412699,0.16666666666666666,0.8333333333333334
2015,-19021.0,0.5238095238095238,0.0,1.0
2016,-4641.0,0.7698412698412699,0.0,1.0
2017,-1709.0,0.7936507936507936,0.08333333333333333,0.9166666666666666
2018,27545.0,0.7619047619047619,0.08333333333333333,0.9166666666666666
2019,32711.0,0.7857142857142857,0.08333333333333333,0.9166666666666666
2020,4429.0,0.8095238095238095,0.0,1.0
2021,13321.0,0.8253968253968254,0.08333333333333333,0.9166666666666666
2022,-11443.0,0.7222222222222222,0.16666666666666666,0.8333333333333334
2023,5547.0,0.8174603174603174,0.16666666666666666,0.8333333333333334
2024,9671.0,0.7698412698412699,0.08333333333333333,0.9166666666666666
2025,20617.0,0.8095238095238095,0.16666666666666666,0.8333333333333334
2026,-8701.0,0.48412698412698413,0.0,1.0
2027,9939.0,0.8333333333333334,0.0,1.0
2028,-12981.0,0.746031746031746,0.0,1.0
2029,651.0,0.7936507936507936,0.08333333333333333,0.9166666666666666
